anio,clase_accidente,total_accidentes
2023.0,CHOQUE,10617.0
2023.0,OTRO,8917.0
2023.0,ATROPELLO,3806.0
2023.0,VOLCAMIENTO,1100.0
2023.0,CAIDA OCUPANTE,704.0
2023.0,INCENDIO,3.0
2024.0,CHOQUE,10157.0
2024.0,OTRO,7125.0
2024.0,ATROPELLO,3428.0
2024.0,VOLCAMIENTO,1985.0
2024.0,CAIDA OCUPANTE,510.0
2024.0,INCENDIO,2.0
2025.0,CHOQUE,12075.0
2025.0,OTRO,10889.0
2025.0,ATROPELLO,5161.0
2025.0,VOLCAMIENTO,1651.0
2025.0,CAIDA OCUPANTE,591.0
2025.0,INCENDIO,1.0
2026.0,OTRO,2758.0
2026.0,CHOQUE,2663.0
2026.0,ATROPELLO,1050.0
2026.0,VOLCAMIENTO,418.0
2026.0,CAIDA OCUPANTE,121.0
