clase_vehiculo,anio,total
MOTOCICLETA,2023.0,24442
AUTOMOVIL,2023.0,6703
CAMIONETA,2023.0,1710
BUS,2023.0,1150
BICICLETA,2023.0,644
CAMION,2023.0,450
CAMPERO,2023.0,428
MICRO BUS,2023.0,219
DESCONOCIDA,2023.0,177
BUSETA,2023.0,176
MOTOCICLETA,2024.0,22988
AUTOMOVIL,2024.0,5995
CAMIONETA,2024.0,1734
BUS,2024.0,1063
BICICLETA,2024.0,578
CAMPERO,2024.0,444
CAMION,2024.0,403
MICRO BUS,2024.0,233
DESCONOCIDA,2024.0,226
BUSETA,2024.0,159
MOTOCICLETA,2025.0,30546
AUTOMOVIL,2025.0,6765
CAMIONETA,2025.0,2043
BUS,2025.0,1158
BICICLETA,2025.0,665
CAMION,2025.0,514
CAMPERO,2025.0,457
MICRO BUS,2025.0,241
DESCONOCIDA,2025.0,240
BUSETA,2025.0,201
MOTOCICLETA,2026.0,7799
AUTOMOVIL,2026.0,1527
CAMIONETA,2026.0,457
BUS,2026.0,261
BICICLETA,2026.0,154
CAMION,2026.0,114
CAMPERO,2026.0,94
MICRO BUS,2026.0,50
BUSETA,2026.0,46
TRACTOCAMION,2026.0,34
