fecha,calle,velocidad_promedio,retraso_promedio_hora
2026-03-29T19:00:00.000-05:00,AP Norte >(N),35.11000061035156,0.02
2026-03-30T05:00:00.000-05:00,AP Norte >(S),32.605454358187586,0.02
2026-03-30T06:00:00.000-05:00,AP Norte >(S),18.95984627650334,0.05
2026-03-30T07:00:00.000-05:00,AP Norte >(N),28.889999389648438,0.02
2026-03-30T07:00:00.000-05:00,AP Norte >(S),16.709078914240788,0.05
2026-03-30T08:00:00.000-05:00,AP Norte >(S),21.35583342446221,0.04
2026-03-30T09:00:00.000-05:00,AP Norte >(S),25.05800006866455,0.03
2026-03-30T10:00:00.000-05:00,AP Norte >(N),31.709999084472656,0.02
2026-03-30T10:00:00.000-05:00,AP Norte >(S),23.466521802155867,0.06
2026-03-30T11:00:00.000-05:00,AP Norte >(S),41.96250057220459,0.02
2026-03-30T12:00:00.000-05:00,AP Norte >(N),33.3066660563151,0.02
2026-03-30T12:00:00.000-05:00,AP Norte >(S),32.45647060169893,0.04
2026-03-30T13:00:00.000-05:00,AP Norte >(S),37.306666904025604,0.03
2026-03-30T13:00:00.000-05:00,AP Norte >(N),28.11222203572591,0.03
2026-03-30T15:00:00.000-05:00,AP Norte >(S),34.2400016784668,0.03
2026-03-30T15:00:00.000-05:00,AP Norte >(N),20.130000432332356,0.03
2026-03-30T18:00:00.000-05:00,AP Norte >(N),12.663750043937139,0.07
2026-03-30T18:00:00.000-05:00,AP Norte>(N),9.029285703386579,0.04
2026-03-30T18:00:00.000-05:00,,5.710000038146973,0.03
2026-03-31T05:00:00.000-05:00,AP Norte >(S),40.138888888888886,0.02
2026-03-31T06:00:00.000-05:00,AP Norte >(S),23.109090978449043,0.06
2026-03-31T07:00:00.000-05:00,AP Norte >(S),20.041451500308128,0.06
2026-03-31T07:00:00.000-05:00,AP Norte >(N),17.52666664123535,0.03
2026-03-31T08:00:00.000-05:00,AP Norte >(S),24.324571337018693,0.06
2026-03-31T09:00:00.000-05:00,AP Norte >(S),25.393902546021998,0.05
2026-03-31T09:00:00.000-05:00,AP Norte >(N),24.399999809265136,0.03
2026-03-31T09:00:00.000-05:00,,2.7274999618530273,0.05
2026-03-31T10:00:00.000-05:00,AP Norte >(N),33.66499996185303,0.02
2026-03-31T10:00:00.000-05:00,AP Norte >(S),22.75705904119155,0.07
2026-03-31T11:00:00.000-05:00,AP Norte >(S),31.525483962028257,0.03
2026-03-31T11:00:00.000-05:00,AP Norte >(N),27.469317999753084,0.03
2026-03-31T12:00:00.000-05:00,AP Norte >(S),45.10437536239624,0.02
2026-03-31T12:00:00.000-05:00,AP Norte >(N),25.590208252271015,0.03
2026-03-31T12:00:00.000-05:00,,3.160000038146973,0.04
2026-03-31T13:00:00.000-05:00,AP Norte >(S),27.62260859945546,0.04
2026-03-31T13:00:00.000-05:00,AP Norte >(N),13.616161659510448,0.07
2026-03-31T13:00:00.000-05:00,AP Norte>(N),9.062941130469827,0.04
2026-03-31T14:00:00.000-05:00,AP Norte >(S),42.471666971842446,0.02
2026-03-31T14:00:00.000-05:00,AP Norte >(N),15.419423048312847,0.06
2026-03-31T14:00:00.000-05:00,AP Norte>(N),9.817142849876767,0.04
2026-03-31T15:00:00.000-05:00,AP Norte >(N),15.62764700721292,0.06
2026-03-31T15:00:00.000-05:00,AP Norte>(N),8.762000179290771,0.04
