fecha_hora,ubicacion,placas_unicas
2026-03-30T00:00:00.000-05:00,CR 64AA x CL 121,3020
2026-03-30T00:00:00.000-05:00,Av Regional x CL 89,2159
2026-03-30T00:00:00.000-05:00,CL 67 x CR 65,2009
2026-03-30T00:00:00.000-05:00,CR 65 x CL 97,1548
2026-03-30T00:00:00.000-05:00,Av San Juan Cr 43A Subiendo a Salvador OCC-OR,1422
2026-03-31T00:00:00.000-05:00,CR 64AA x CL 121,50846
2026-03-31T00:00:00.000-05:00,CL 67 x CR 65,42803
2026-03-31T00:00:00.000-05:00,Autopista Sur x Est. industriales N-S EXT,49978
2026-03-31T00:00:00.000-05:00,Autopista Sur Cl 48 La Macarena N-S EXT,50741
2026-03-31T00:00:00.000-05:00,Autopista Sur con Pte Guayabal  N-S INT,47631
