fecha_hora,ubicacion,placas_unicas,conteo_total
2026-03-30T00:00:00.000-05:00,CR 64AA x CL 121,3020,2337318
2026-03-30T00:00:00.000-05:00,Av Regional x CL 89,2159,2337318
2026-03-30T00:00:00.000-05:00,CL 67 x CR 65,2009,2337318
2026-03-30T00:00:00.000-05:00,CR 65 x CL 97,1548,2337318
2026-03-30T00:00:00.000-05:00,Av San Juan Cr 43A Subiendo a Salvador OCC-OR,1422,2337318
2026-03-30T00:00:00.000-05:00,Cr 50 x CL 12 Sur N-S INT,1338,2337318
2026-03-30T00:00:00.000-05:00,CR 65 x CL 80,1556,2337318
2026-03-30T00:00:00.000-05:00,Av Regional Cl 15sur Est Aguacatala S-N  EXT,1637,2337318
2026-03-30T00:00:00.000-05:00,Av Regional Est Industriales  S-N INT,1623,2337318
2026-03-30T00:00:00.000-05:00,Av Regional Est Industriales  S-N EXT,1639,2337318
2026-03-30T00:00:00.000-05:00,Av 33 CR 66B Clin Oftalmologica OR-OCC,1298,2337318
2026-03-30T00:00:00.000-05:00,Autopista Sur x Est. industriales N-S EXT,1318,2337318
2026-03-30T00:00:00.000-05:00,CR 63 x CL 121,1306,2337318
2026-03-30T00:00:00.000-05:00,Cra 96 Cll 44 Bibl. San Javier OR-OCC,1307,2337318
2026-03-30T00:00:00.000-05:00,CR 52 x CL 6 Sur 70 S-N,1130,2337318
2026-03-30T00:00:00.000-05:00,Av Regional Cl 15sur Est Aguacatala S-N  INT,1266,2337318
2026-03-30T00:00:00.000-05:00,Av Carabobo x CL 78,1263,2337318
2026-03-30T00:00:00.000-05:00,CR 52 x CL 6 Sur 57 N-S,1032,2337318
2026-03-30T00:00:00.000-05:00,Av San Juan Cr 82 EDS Texaco OR-OCC,1195,2337318
2026-03-30T00:00:00.000-05:00,Autopista Sur con Pte Guayabal  N-S INT,1166,2337318
2026-03-30T00:00:00.000-05:00,Cl 80 Av 80  CAI Lopez de Mesa OR-OCC,1068,2337318
2026-03-30T00:00:00.000-05:00,Autopista Sur Cl 48 La Macarena N-S EXT,1027,2337318
2026-03-30T00:00:00.000-05:00,Av Poblado Cl 14Sur Edificio SEROX N-S,938,2337318
2026-03-30T00:00:00.000-05:00,CL 2 Sur x CR 67 N-S,879,2337318
2026-03-30T00:00:00.000-05:00,CR 52 x CL 14 Sur 129,976,2337318
2026-03-30T00:00:00.000-05:00,Av 80 Cl 42 Auteco Laureles S-N,927,2337318
2026-03-30T00:00:00.000-05:00,Av 33 CR 66B Clin Oftalmologica OCC-OR,869,2337318
2026-03-30T00:00:00.000-05:00,CL 30 x CR 54 OCC-OR,880,2337318
2026-03-30T00:00:00.000-05:00,Av Bolivariana Cl 35 Unicentro OR-OCC,893,2337318
2026-03-30T00:00:00.000-05:00,Autopista sur Est industriales  N-S INT,942,2337318
2026-03-30T00:00:00.000-05:00,Av. Las Palmas Cra 30 OCC-OR,811,2337318
2026-03-30T00:00:00.000-05:00,Cr 50 x CL 12 Sur N-S  EXT,921,2337318
2026-03-30T00:00:00.000-05:00,AV NUTIBARA CLL 42 CON 79 ( IGLESIA CONSOLATA) S-N,657,2337318
2026-03-30T00:00:00.000-05:00,Av Bolivariana Cl 35 Unicentro OCC-OR,877,2337318
2026-03-30T00:00:00.000-05:00,Cra 63B con Cll 33 (Ori-Occ)frente a taberna baco,889,2337318
2026-03-30T00:00:00.000-05:00,CR 53 x CL 93,895,2337318
2026-03-30T00:00:00.000-05:00,CL 66 x CR 45,696,2337318
2026-03-30T00:00:00.000-05:00,Cra 43C CALLE  6 SUR (DETR├üS DE OVIEDO -CERCA PUENTE 4 SUR) N-S,545,2337318
2026-03-30T00:00:00.000-05:00,Autopista Sur con Pte Guayabal  N-S EXT,710,2337318
2026-03-30T00:00:00.000-05:00,Av. Las Vegas Cll 20 Ciudad del rio S-N,645,2337318
2026-03-30T00:00:00.000-05:00,CL 104 x CR 65,584,2337318
2026-03-30T00:00:00.000-05:00,Cl 67 Cr 55 UdeA Tienda Corona OCC-OR,762,2337318
2026-03-30T00:00:00.000-05:00,Cr 65 Cl 43 San Joaquin S-N,801,2337318
2026-03-30T00:00:00.000-05:00,Cr 65 Cl 32A Clin Conquistadores S-N,678,2337318
2026-03-30T00:00:00.000-05:00,Av San Juan Cr 82 EDS Texaco OCC-OR,758,2337318
2026-03-30T00:00:00.000-05:00,AVENIDA NUTIBARA  TV 39 CON 71 ( UPB ) (OR-OCC),723,2337318
2026-03-30T00:00:00.000-05:00,Calle 12 Sur cra 44 (Glorieta Aguacatala) (Occ-Ori),704,2337318
2026-03-30T00:00:00.000-05:00,Av 33 Cr 76 Los Almendros OR-OCC,563,2337318
2026-03-30T00:00:00.000-05:00,Av 80 Cl 79B Robledo S-N,697,2337318
2026-03-30T00:00:00.000-05:00,Av 80 Cl 34C Alberto Lechona Laureles S-N,677,2337318
2026-03-30T00:00:00.000-05:00,Cl 50 Cr 81 Despues de la 80 OR-OCC,674,2337318
2026-03-30T00:00:00.000-05:00,Cra 63B con Cll 33 (Occ-Ori) frente a taberna baco,675,2337318
2026-03-30T00:00:00.000-05:00,CL 67 x CR 55,636,2337318
2026-03-30T00:00:00.000-05:00,Cr 65 Cl 59A UNAL y Cerro el Volador S-N,679,2337318
2026-03-30T00:00:00.000-05:00,Cr 74 Cl 48  Obelisco S-N,500,2337318
2026-03-30T00:00:00.000-05:00,Cra 43C CALLE  6 SUR (DETR├üS DE OVIEDO -CERCA PUENTE 4 SUR) S -N,614,2337318
2026-03-30T00:00:00.000-05:00,CR 39 x CL 86,633,2337318
2026-03-30T00:00:00.000-05:00,Cl 37 Cr 48 Leonisa OR-OCC,594,2337318
2026-03-30T00:00:00.000-05:00,Av las Vegas Cl 7 Politecnico JIC S-N,617,2337318
2026-03-30T00:00:00.000-05:00,Cl 29 Cr 45  Punto Clave OCC-OR,633,2337318
2026-03-30T00:00:00.000-05:00,Av 33 Cr 82 Santa Gema OCC-OR,628,2337318
2026-03-30T00:00:00.000-05:00,Av las Vegas Cl 15sur Aguacatala EDS Mobil S-N,590,2337318
2026-03-30T00:00:00.000-05:00,Av Poblado Cl 34  Puente Peatonal Almacentro N-S,493,2337318
2026-03-30T00:00:00.000-05:00,Av 80 Cl 32  Canalizacion Q la Pikacha N-S,534,2337318
2026-03-30T00:00:00.000-05:00,Av Poblado Cl 24  Banco Occidente-Mall  N-S,569,2337318
2026-03-30T00:00:00.000-05:00,Av San Juan Cr 65 Goodyear OCC-OR,608,2337318
2026-03-30T00:00:00.000-05:00,Av Las Vegas Cl 5sur  EAFIT N-S,607,2337318
2026-03-30T00:00:00.000-05:00,CL 10 x CR 52A OR-OCC,597,2337318
2026-03-30T00:00:00.000-05:00,┬áCl 80 Cr 72 Cordoba OR-OCC,589,2337318
2026-03-30T00:00:00.000-05:00,Cr 65 Cl 42 D1 San Joaquin S-N,478,2337318
2026-03-30T00:00:00.000-05:00,Cl 37 Cr 48 Leonisa OCC-OR,557,2337318
2026-03-30T00:00:00.000-05:00,Av las Vegas Cl 15sur Aguacatala EDS Mobil N-S,571,2337318
2026-03-30T00:00:00.000-05:00,CR 55 x CL 94B,573,2337318
2026-03-30T00:00:00.000-05:00,Cl 11 Cr 43E Bajando a Moterrey Manila OR-OCC,569,2337318
2026-03-30T00:00:00.000-05:00,Cr 37 Cl 9sur Mall Comercial Honda OCC-OR,570,2337318
2026-03-30T00:00:00.000-05:00,Cl 29 x Cr 38,569,2337318
2026-03-30T00:00:00.000-05:00,Calle 55 con Cra 65 (punete de Iguana) occ- orie,488,2337318
2026-03-30T00:00:00.000-05:00,Cl 10 Cr 43B Parque El Poblado OCC-OR,523,2337318
2026-03-30T00:00:00.000-05:00,Calle 12 Sur  cra 44 (Glorieta Aguacatala) (Ori-Occ),547,2337318
2026-03-30T00:00:00.000-05:00,Av Oriental Cl 46 Parque San Antonio S-N,496,2337318
2026-03-30T00:00:00.000-05:00,Autopista Sur x Est. industriales  N-S INT,542,2337318
2026-03-30T00:00:00.000-05:00,Av Las Vegas Cl 5sur  EAFIT S-N,438,2337318
2026-03-30T00:00:00.000-05:00,Cl 76 Cr 80 Conjunto Do├▒a Maria Robledo OCC-OR,533,2337318
2026-03-30T00:00:00.000-05:00,Cl 55 Cr 74 Iguana OCC-OR,505,2337318
2026-03-30T00:00:00.000-05:00,Av 80 Cl 32EE  Villa de Aburra Fonda la 80 S-N,481,2337318
2026-03-30T00:00:00.000-05:00,AVENIDA NUTIBARA TV 39 CON 71 ( UPB ) (OCC-SUR),478,2337318
2026-03-30T00:00:00.000-05:00,Av 80 Cl 42 Auteco Laureles N-S,477,2337318
2026-03-30T00:00:00.000-05:00,CL 30 x CR 54 OR-OCC,481,2337318
2026-03-30T00:00:00.000-05:00,Av Las Palmas Cr 42 Cl 34 AngusBrangus OCC-OR,503,2337318
2026-03-30T00:00:00.000-05:00,Av 80 Cl 45G  Muebles Juventud Floresta S-N,473,2337318
2026-03-30T00:00:00.000-05:00,CL 10 x CR 52A OCC-OR,469,2337318
2026-03-30T00:00:00.000-05:00,Cr 65 Cl 32B Colegio Fatima S-N,488,2337318
